u,v,weight,road_type
N32,N41,26.5,arterial
N32,N33,31.17,arterial
N33,N41,6.59,arterial
N34,N48,4.82,arterial
N34,N47,24.8,arterial
N34,N37,28.3,arterial
N28,N34,28.85,arterial
N32,N35,49.27,arterial
N22,N35,72.02,arterial
N36,N37,18.22,arterial
N36,N38,26.76,arterial
N37,N40,18.7,arterial
N37,N48,25.8,arterial
N38,N45,29.48,arterial
N37,N38,38.05,arterial
N39,N45,16.21,arterial
N38,N39,38.84,arterial
N36,N39,44.31,arterial
N3,N39,45.02,arterial
N42,N49,17.57,arterial
N1,N42,50.65,arterial
N25,N43,31.14,arterial
N43,N7,41.42,arterial
N40,N43,50.26,arterial
N36,N45,28.31,arterial
N4,N45,40.17,arterial
N47,N48,28.4,arterial
N24,N47,47.32,arterial
N462,N50,7.78,arterial
N50,N87,9.38,arterial
N50,N62,12.84,arterial
N50,N61,15.62,arterial
N50,N77,16.8,arterial
N51,N62,10.94,arterial
N51,N56,11.75,arterial
N51,N94,11.8,arterial
N51,N53,12.62,arterial
N462,N51,14.96,arterial
N52,N90,21.52,arterial
N484,N52,22.39,arterial
N52,N84,35.77,arterial
N52,N67,37.68,arterial
N52,N88,38.02,arterial
N53,N56,12.35,arterial
N460,N53,17.15,arterial
N53,N62,19.22,arterial
N53,N94,20.61,arterial
N54,N97,15.78,arterial
N54,N98,17.18,arterial
N472,N54,26.25,arterial
N54,N58,26.48,arterial
N54,N99,29.34,arterial
N55,N79,9.28,arterial
N461,N55,17.73,arterial
N55,N83,20.57,arterial
N55,N96,22.06,arterial
N493,N55,26.9,arterial
N460,N56,7.55,arterial
N56,N62,9.33,arterial
N56,N87,12.55,arterial
N57,N64,14.83,arterial
N57,N67,17.06,arterial
N57,N61,18.87,arterial
N57,N88,19.92,arterial
N57,N86,24.53,arterial
N469,N58,7.78,arterial
N58,N97,10.8,arterial
N58,N76,16.34,arterial
N58,N78,33.17,arterial
N52,N59,48.84,arterial
N59,N91,63.1,arterial
N484,N59,67.46,arterial
N59,N90,70.29,arterial
N59,N69,76.51,arterial
N497,N60,30.28,arterial
N60,N93,39.46,arterial
N60,N92,44.87,arterial
N60,N85,53.32,arterial
N60,N82,57.7,arterial
N61,N86,13.14,arterial
N61,N77,14.72,arterial
N61,N64,17.17,arterial
N462,N62,5.36,arterial
N62,N87,7.02,arterial
N459,N63,7.74,arterial
N63,N65,17.75,arterial
N472,N63,18.68,arterial
N63,N99,20.09,arterial
N63,N77,25.34,arterial
N64,N88,8.46,arterial
N64,N67,11.47,arterial
N50,N64,24.3,arterial
N459,N65,12.46,arterial
N462,N65,14.62,arterial
N65,N94,15.48,arterial
N51,N65,16.35,arterial
N62,N65,16.52,arterial
N479,N66,11.11,arterial
N66,N74,15.08,arterial
N66,N99,18.42,arterial
N483,N66,19.48,arterial
N454,N66,27.43,arterial
N67,N88,6.66,arterial
N67,N90,18.68,arterial
N61,N67,27.8,arterial
N68,N82,10.76,arterial
N68,N75,14.59,arterial
N68,N95,19.54,arterial
N68,N73,22.48,arterial
N68,N72,23.32,arterial
N69,N92,54.45,arterial
N60,N69,78.58,arterial
N484,N69,81.72,arterial
N69,N84,83.49,arterial
N70,N81,24.9,arterial
N70,N76,33.87,arterial
N70,N78,35.43,arterial
N57,N70,41.64,arterial
N469,N70,42.21,arterial
N468,N71,17.74,arterial
N71,N78,33.72,arterial
N488,N71,34.34,arterial
N58,N71,38.07,arterial
N469,N71,43.06,arterial
N72,N75,16.34,arterial
N493,N72,32.07,arterial
N72,N82,34.05,arterial
N72,N73,38.24,arterial
N73,N96,7.24,arterial
N493,N73,15.15,arterial
N73,N82,19.87,arterial
N73,N95,21.7,arterial
N73,N75,22.04,arterial
N479,N74,7.9,arterial
N483,N74,9.81,arterial
N454,N74,12.48,arterial
N476,N74,26.66,arterial
N493,N75,17.15,arterial
N75,N82,23.15,arterial
N469,N76,8.68,arterial
N76,N97,24.81,arterial
N76,N78,29.41,arterial
N76,N86,31.86,arterial
N77,N86,11.97,arterial
N472,N77,15.43,arterial
N459,N77,18.3,arterial
N469,N78,31.31,arterial
N461,N79,8.47,arterial
N79,N83,18.56,arterial
N79,N96,24.54,arterial
N493,N79,24.96,arterial
N78,N80,68.53,arterial
N70,N80,70.74,arterial
N71,N80,90.35,arterial
N80,N91,91.13,arterial
N80,N81,92.98,arterial
N57,N81,26.17,arterial
N67,N81,27.86,arterial
N81,N88,34.47,arterial
N64,N81,35.71,arterial
N82,N95,8.78,arterial
N82,N96,27.01,arterial
N461,N83,21.35,arterial
N457,N83,24.13,arterial
N483,N83,32.56,arterial
N484,N84,13.38,arterial
N460,N84,25.4,arterial
N84,N90,25.59,arterial
N56,N84,32.87,arterial
N84,N88,33.52,arterial
N85,N93,13.96,arterial
N85,N95,26.37,arterial
N53,N85,26.66,arterial
N497,N85,28.61,arterial
N82,N85,34.06,arterial
N472,N86,20.86,arterial
N50,N86,24.64,arterial
N462,N87,6.38,arterial
N460,N87,14.09,arterial
N88,N90,17.08,arterial
N61,N88,25.59,arterial
N72,N89,41.82,arterial
N452,N89,44.57,arterial
N75,N89,45.93,arterial
N493,N89,46.5,arterial
N461,N89,46.97,arterial
N484,N90,17.07,arterial
N64,N90,25.43,arterial
N81,N91,39.74,arterial
N70,N91,49.74,arterial
N52,N91,52.0,arterial
N67,N91,57.72,arterial
N90,N91,58.75,arterial
N497,N92,72.74,arterial
N92,N93,75.81,arterial
N85,N92,87.56,arterial
N497,N93,16.26,arterial
N93,N95,28.02,arterial
N82,N93,32.99,arterial
N62,N94,21.07,arterial
N462,N94,23.21,arterial
N493,N96,12.0,arterial
N75,N96,24.58,arterial
N469,N97,16.46,arterial
N97,N98,28.93,arterial
N98,N99,34.97,arterial
N58,N98,37.82,arterial
N479,N98,37.93,arterial
N472,N99,22.4,arterial
N479,N99,25.08,arterial
N459,N99,25.62,arterial
N100,N123,14.54,arterial
N100,N124,16.27,arterial
N100,N122,17.83,arterial
N100,N125,20.92,arterial
N100,N144,21.89,arterial
N101,N109,8.31,arterial
N101,N115,22.01,arterial
N101,N144,24.6,arterial
N101,N140,30.48,arterial
N101,N123,32.67,arterial
N102,N136,14.93,arterial
N102,N125,18.57,arterial
N102,N148,29.1,arterial
N102,N118,29.36,arterial
N102,N119,35.85,arterial
N103,N141,8.69,arterial
N103,N139,16.63,arterial
N103,N130,19.58,arterial
N103,N127,20.41,arterial
N103,N114,46.66,arterial
N104,N105,27.51,arterial
N104,N128,32.23,arterial
N104,N137,37.01,arterial
N104,N111,47.86,arterial
N104,N131,54.0,arterial
N105,N111,55.83,arterial
N105,N133,57.96,arterial
N105,N128,58.86,arterial
N105,N131,59.56,arterial
N106,N131,13.84,arterial
N106,N111,14.51,arterial
N106,N145,16.4,arterial
N106,N142,21.78,arterial
N106,N149,23.03,arterial
N107,N114,17.77,arterial
N107,N134,29.69,arterial
N107,N139,43.64,arterial
N103,N107,59.32,arterial
N107,N130,59.73,arterial
N108,N496,4.69,arterial
N108,N499,34.29,arterial
N108,N470,35.65,arterial
N108,N478,42.22,arterial
N108,N458,64.29,arterial
N109,N115,19.28,arterial
N109,N144,22.34,arterial
N109,N123,29.42,arterial
N109,N124,29.55,arterial
N110,N138,18.61,arterial
N110,N147,47.62,arterial
N110,N146,59.72,arterial
N110,N112,66.0,arterial
N110,N186,78.69,arterial
N111,N131,7.05,arterial
N111,N143,28.49,arterial
N111,N145,30.4,arterial
N111,N113,34.94,arterial
N112,N146,6.29,arterial
N112,N147,34.28,arterial
N109,N112,37.3,arterial
N101,N112,42.88,arterial
N112,N115,52.67,arterial
N113,N142,18.67,arterial
N113,N145,19.85,arterial
N113,N140,21.45,arterial
N113,N143,22.37,arterial
N106,N113,26.85,arterial
N114,N139,33.35,arterial
N114,N134,38.21,arterial
N114,N141,52.11,arterial
N115,N144,3.15,arterial
N115,N123,10.66,arterial
N115,N124,12.6,arterial
N116,N128,26.11,arterial
N116,N121,29.29,arterial
N116,N137,42.98,arterial
N116,N126,50.26,arterial
N104,N116,57.36,arterial
N101,N117,55.64,arterial
N112,N117,57.58,arterial
N109,N117,59.48,arterial
N117,N132,60.06,arterial
N117,N146,60.13,arterial
N118,N148,2.63,arterial
N118,N136,19.88,arterial
N118,N126,24.36,arterial
N118,N149,31.64,arterial
N119,N125,27.66,arterial
N119,N124,37.38,arterial
N119,N136,40.16,arterial
N119,N123,42.14,arterial
N120,N134,61.14,arterial
N119,N120,62.32,arterial
N102,N120,77.9,arterial
N120,N147,82.49,arterial
N107,N120,82.64,arterial
N103,N121,50.85,arterial
N121,N141,54.24,arterial
N121,N128,55.18,arterial
N121,N127,61.96,arterial
N122,N149,9.63,arterial
N122,N142,13.91,arterial
N122,N145,15.92,arterial
N122,N123,25.4,arterial
N123,N124,4.96,arterial
N123,N144,8.38,arterial
N124,N144,11.36,arterial
N124,N125,25.93,arterial
N125,N136,13.54,arterial
N126,N148,23.52,arterial
N126,N137,31.33,arterial
N126,N127,36.69,arterial
N126,N149,40.9,arterial
N127,N130,8.45,arterial
N127,N141,11.78,arterial
N127,N139,26.19,arterial
N127,N148,32.77,arterial
N128,N137,33.83,arterial
N126,N128,56.71,arterial
N129,N135,15.68,arterial
N129,N143,22.11,arterial
N129,N131,39.74,arterial
N113,N129,42.84,arterial
N111,N129,45.02,arterial
N130,N141,12.76,arterial
N130,N139,19.65,arterial
N130,N148,38.38,arterial
N131,N143,21.74,arterial
N131,N145,27.48,arterial
N113,N131,28.7,arterial
N132,N140,17.16,arterial
N113,N132,32.97,arterial
N101,N132,40.21,arterial
N132,N143,40.83,arterial
N129,N132,48.13,arterial
N133,N135,61.33,arterial
N129,N133,66.1,arterial
N133,N143,84.29,arterial
N104,N133,84.9,arterial
N134,N139,38.59,arterial
N130,N134,45.21,arterial
N127,N134,53.51,arterial
N135,N143,36.85,arterial
N132,N135,52.25,arterial
N131,N135,55.42,arterial
N113,N135,55.54,arterial
N136,N148,20.9,arterial
N100,N136,22.93,arterial
N111,N137,37.38,arterial
N106,N137,40.46,arterial
N138,N186,60.1,arterial
N138,N147,66.07,arterial
N138,N146,77.4,arterial
N112,N138,83.64,arterial
N139,N141,19.38,arterial
N140,N142,32.61,arterial
N140,N145,36.58,arterial
N126,N141,43.55,arterial
N142,N145,5.53,arterial
N142,N149,15.39,arterial
N106,N143,30.87,arterial
N145,N149,13.8,arterial
N146,N147,29.83,arterial
N109,N146,43.57,arterial
N101,N146,49.16,arterial
N115,N146,58.61,arterial
N119,N147,59.12,arterial
N109,N147,65.8,arterial
N100,N149,25.39,arterial
N150,N159,9.5,arterial
N150,N161,16.17,arterial
N150,N151,16.88,arterial
N150,N176,20.15,arterial
N150,N183,30.35,arterial
N151,N176,9.13,arterial
N151,N161,18.83,arterial
N151,N159,23.76,arterial
N151,N188,25.53,arterial
N152,N173,16.59,arterial
N152,N196,29.12,arterial
N152,N163,30.34,arterial
N152,N194,33.36,arterial
N152,N166,37.44,arterial
N153,N170,8.48,arterial
N153,N165,42.86,arterial
N153,N171,43.85,arterial
N153,N182,48.93,arterial
N153,N174,50.54,arterial
N154,N197,7.82,arterial
N154,N156,18.17,arterial
N154,N194,20.34,arterial
N154,N166,22.71,arterial
N154,N196,24.78,arterial
N155,N175,65.5,arterial
N155,N182,68.98,arterial
N155,N187,82.14,arterial
N155,N190,87.15,arterial
N155,N180,91.8,arterial
N156,N166,12.95,arterial
N156,N197,15.45,arterial
N156,N196,20.46,arterial
N156,N159,27.62,arterial
N157,N158,14.98,arterial
N153,N157,62.93,arterial
N157,N170,71.39,arterial
N157,N171,93.25,arterial
N157,N174,94.05,arterial
N153,N158,64.39,arterial
N158,N170,72.53,arterial
N158,N171,100.0,arterial
N158,N182,100.05,arterial
N159,N197,22.48,arterial
N159,N176,23.64,arterial
N159,N161,25.46,arterial
N160,N190,13.33,arterial
N160,N187,15.36,arterial
N160,N175,29.4,arterial
N160,N182,33.18,arterial
N160,N183,34.84,arterial
N161,N188,15.91,arterial
N161,N164,19.24,arterial
N161,N183,21.27,arterial
N162,N163,20.63,arterial
N162,N198,28.48,arterial
N162,N184,31.42,arterial
N162,N192,45.08,arterial
N152,N162,48.29,arterial
N163,N198,33.38,arterial
N163,N184,37.46,arterial
N163,N173,39.42,arterial
N164,N165,12.44,arterial
N164,N183,15.65,arterial
N164,N188,16.8,arterial
N164,N171,28.23,arterial
N165,N183,15.33,arterial
N165,N171,26.46,arterial
N165,N188,29.1,arterial
N161,N165,29.8,arterial
N166,N196,8.31,arterial
N166,N197,24.31,arterial
N166,N185,30.57,arterial
N167,N191,19.46,arterial
N167,N177,22.97,arterial
N167,N168,33.38,arterial
N167,N172,39.33,arterial
N167,N189,43.22,arterial
N168,N172,8.64,arterial
N168,N191,15.51,arterial
N168,N193,30.79,arterial
N168,N174,47.79,arterial
N169,N179,29.28,arterial
N169,N189,34.07,arterial
N169,N178,51.35,arterial
N169,N195,61.05,arterial
N167,N169,66.68,arterial
N165,N170,35.57,arterial
N170,N171,40.73,arterial
N170,N182,42.71,arterial
N170,N183,46.4,arterial
N171,N174,10.06,arterial
N171,N193,24.08,arterial
N171,N188,35.22,arterial
N172,N193,22.5,arterial
N172,N191,23.28,arterial
N172,N174,40.43,arterial
N173,N194,30.07,arterial
N173,N196,39.69,arterial
N173,N180,44.36,arterial
N174,N193,19.72,arterial
N165,N174,36.2,arterial
N164,N174,36.23,arterial
N174,N188,39.63,arterial
N175,N187,16.64,arterial
N175,N182,26.33,arterial
N175,N190,28.31,arterial
N175,N194,55.14,arterial
N161,N176,27.15,arterial
N176,N178,30.27,arterial
N177,N191,35.25,arterial
N177,N186,35.38,arterial
N168,N177,50.75,arterial
N172,N177,58.35,arterial
N178,N179,32.53,arterial
N178,N189,37.15,arterial
N151,N178,39.1,arterial
N156,N178,45.81,arterial
N179,N189,7.47,arterial
N176,N179,46.84,arterial
N167,N179,50.44,arterial
N180,N194,55.1,arterial
N152,N180,60.95,arterial
N175,N180,61.7,arterial
N180,N187,62.85,arterial
N181,N185,14.33,arterial
N181,N192,15.06,arterial
N181,N184,28.0,arterial
N181,N195,29.8,arterial
N181,N198,31.07,arterial
N182,N190,21.52,arterial
N182,N187,32.39,arterial
N183,N188,28.94,arterial
N184,N198,4.13,arterial
N184,N192,14.3,arterial
N184,N185,32.12,arterial
N185,N192,18.1,arterial
N185,N196,32.21,arterial
N186,N191,46.12,arterial
N167,N186,48.94,arterial
N168,N186,57.06,arterial
N187,N190,21.43,arterial
N187,N194,41.63,arterial
N176,N189,46.56,arterial
N183,N190,32.12,arterial
N191,N193,45.77,arterial
N192,N198,16.61,arterial
N192,N196,40.89,arterial
N188,N193,29.47,arterial
N194,N197,28.07,arterial
N194,N196,28.54,arterial
N166,N194,32.37,arterial
N195,N199,21.9,arterial
N185,N195,38.98,arterial
N192,N195,44.48,arterial
N178,N195,48.76,arterial
N196,N197,28.62,arterial
N181,N199,44.82,arterial
N192,N199,57.04,arterial
N185,N199,57.17,arterial
N184,N199,64.18,arterial
N200,N226,4.63,arterial
N200,N206,7.92,arterial
N200,N207,12.88,arterial
N200,N238,14.46,arterial
N200,N201,17.71,arterial
N201,N249,8.59,arterial
N201,N206,14.27,arterial
N201,N226,14.38,arterial
N201,N232,18.16,arterial
N202,N237,10.12,arterial
N202,N217,19.76,arterial
N202,N244,19.9,arterial
N202,N203,19.92,arterial
N202,N230,27.38,arterial
N203,N244,10.47,arterial
N203,N237,22.21,arterial
N203,N231,22.81,arterial
N203,N235,28.28,arterial
N204,N210,25.28,arterial
N204,N236,25.57,arterial
N204,N227,36.79,arterial
N204,N221,43.37,arterial
N204,N233,50.6,arterial
N205,N214,12.9,arterial
N205,N239,24.37,arterial
N205,N240,28.9,arterial
N205,N245,29.45,arterial
N205,N207,32.04,arterial
N206,N226,3.58,arterial
N206,N238,11.43,arterial
N206,N207,11.72,arterial
N207,N238,3.16,arterial
N207,N226,12.66,arterial
N207,N240,21.95,arterial
N208,N214,38.01,arterial
N208,N245,38.68,arterial
N208,N240,48.4,arterial
N205,N208,49.45,arterial
N208,N243,50.22,arterial
N209,N215,59.94,arterial
N209,N246,61.55,arterial
N209,N212,63.47,arterial
N208,N209,64.12,arterial
N209,N223,64.4,arterial
N210,N236,19.9,arterial
N210,N227,49.11,arterial
N210,N220,55.6,arterial
N210,N233,63.72,arterial
N211,N228,5.87,arterial
N211,N225,17.34,arterial
N211,N232,18.02,arterial
N211,N249,20.11,arterial
N211,N241,24.83,arterial
N212,N215,13.74,arterial
N212,N223,29.46,arterial
N212,N219,38.08,arterial
N212,N239,51.36,arterial
N212,N216,52.03,arterial
N213,N248,29.77,arterial
N213,N234,32.46,arterial
N203,N213,48.83,arterial
N213,N235,51.03,arterial
N213,N231,51.91,arterial
N214,N245,18.97,arterial
N214,N240,22.19,arterial
N207,N214,34.28,arterial
N214,N238,34.83,arterial
N215,N223,16.06,arterial
N215,N219,24.75,arterial
N215,N239,37.69,arterial
N215,N216,44.44,arterial
N216,N235,23.9,arterial
N216,N219,32.64,arterial
N216,N234,34.35,arterial
N216,N223,35.25,arterial
N216,N239,39.64,arterial
N217,N237,15.36,arterial
N217,N233,21.94,arterial
N217,N230,24.07,arterial
N201,N217,25.85,arterial
N204,N218,63.7,arterial
N210,N218,74.63,arterial
N218,N236,87.07,arterial
N218,N221,88.44,arterial
N218,N231,95.86,arterial
N219,N223,8.69,arterial
N219,N239,14.16,arterial
N205,N219,37.12,arterial
N220,N225,34.92,arterial
N220,N241,38.23,arterial
N220,N236,41.38,arterial
N220,N228,49.43,arterial
N220,N227,50.69,arterial
N221,N231,10.01,arterial
N221,N230,21.9,arterial
N221,N244,23.28,arterial
N221,N233,28.85,arterial
N221,N227,28.94,arterial
N222,N247,4.26,arterial
N222,N229,18.96,arterial
N222,N242,26.96,arterial
N222,N228,31.78,arterial
N211,N222,36.98,arterial
N223,N239,22.13,arterial
N209,N224,75.81,arterial
N224,N246,82.82,arterial
N212,N224,123.47,arterial
N208,N224,124.13,arterial
N215,N224,126.43,arterial
N225,N241,12.5,arterial
N225,N228,18.3,arterial
N225,N249,33.85,arterial
N225,N232,34.77,arterial
N226,N238,13.22,arterial
N227,N233,14.69,arterial
N227,N230,18.95,arterial
N227,N236,31.33,arterial
N227,N241,33.6,arterial
N228,N232,20.87,arterial
N228,N229,23.08,arterial
N228,N249,24.95,arterial
N229,N247,15.78,arterial
N229,N232,22.08,arterial
N229,N242,24.37,arterial
N230,N233,8.58,arterial
N230,N237,17.44,arterial
N230,N244,21.05,arterial
N231,N244,15.23,arterial
N230,N231,23.06,arterial
N231,N237,29.26,arterial
N232,N249,10.02,arterial
N233,N237,21.33,arterial
N233,N241,28.32,arterial
N234,N235,26.69,arterial
N234,N248,27.7,arterial
N203,N234,43.08,arterial
N202,N235,34.4,arterial
N235,N244,38.45,arterial
N233,N236,45.42,arterial
N237,N244,16.99,arterial
N238,N240,20.45,arterial
N214,N239,37.27,arterial
N240,N245,9.86,arterial
N217,N241,26.64,arterial
N228,N241,28.05,arterial
N242,N247,27.91,arterial
N232,N242,42.36,arterial
N240,N242,43.27,arterial
N243,N246,58.07,arterial
N243,N245,79.35,arterial
N242,N243,85.37,arterial
N214,N243,86.1,arterial
N238,N245,30.16,arterial
N207,N245,31.4,arterial
N208,N246,54.62,arterial
N214,N246,86.79,arterial
N228,N247,27.57,arterial
N211,N247,32.73,arterial
N235,N248,54.38,arterial
N216,N248,58.07,arterial
N203,N248,66.27,arterial
N206,N249,17.76,arterial
N226,N249,19.45,arterial
N250,N289,8.84,arterial
N250,N280,14.95,arterial
N250,N257,20.15,arterial
N250,N269,21.33,arterial
N250,N272,21.63,arterial
N251,N274,5.78,arterial
N251,N256,19.41,arterial
N251,N291,20.83,arterial
N251,N275,23.93,arterial
N251,N278,26.31,arterial
N252,N273,2.57,arterial
N252,N288,5.28,arterial
N252,N293,10.85,arterial
N252,N294,20.64,arterial
N252,N263,21.87,arterial
N253,N298,25.82,arterial
N253,N270,26.14,arterial
N253,N287,26.92,arterial
N253,N266,29.18,arterial
N253,N295,31.47,arterial
N254,N261,5.37,arterial
N254,N272,19.84,arterial
N254,N288,23.74,arterial
N254,N273,24.24,arterial
N252,N254,26.57,arterial
N255,N266,11.77,arterial
N255,N298,25.45,arterial
N255,N287,33.3,arterial
N253,N255,37.92,arterial
N255,N272,40.55,arterial
N256,N278,7.17,arterial
N256,N263,13.87,arterial
N256,N274,17.12,arterial
N256,N271,17.61,arterial
N257,N269,9.12,arterial
N257,N258,10.02,arterial
N257,N292,15.78,arterial
N257,N280,19.93,arterial
N257,N284,19.99,arterial
N258,N269,7.52,arterial
N258,N292,16.12,arterial
N258,N281,16.84,arterial
N258,N265,19.93,arterial
N259,N260,9.87,arterial
N259,N285,11.15,arterial
N259,N281,13.52,arterial
N259,N290,18.97,arterial
N259,N265,21.51,arterial
N260,N285,17.94,arterial
N260,N265,19.3,arterial
N260,N281,20.85,arterial
N260,N290,28.47,arterial
N261,N272,21.68,arterial
N261,N273,27.99,arterial
N261,N288,28.2,arterial
N252,N261,30.45,arterial
N262,N295,35.17,arterial
N262,N283,35.49,arterial
N262,N270,44.41,arterial
N261,N262,45.06,arterial
N262,N286,45.29,arterial
N263,N278,11.28,arterial
N263,N271,19.81,arterial
N263,N288,20.17,arterial
N264,N297,21.14,arterial
N264,N274,37.86,arterial
N256,N264,40.3,arterial
N264,N275,40.57,arterial
N264,N278,43.49,arterial
N265,N292,12.39,arterial
N265,N284,14.09,arterial
N265,N291,18.84,arterial
N265,N281,19.19,arterial
N266,N287,21.72,arterial
N266,N298,25.78,arterial
N266,N270,41.22,arterial
N267,N268,31.34,arterial
N267,N296,58.34,arterial
N267,N276,65.02,arterial
N267,N282,67.61,arterial
N267,N299,86.61,arterial
N268,N296,78.9,arterial
N243,N268,86.57,arterial
N268,N276,96.16,arterial
N268,N282,97.77,arterial
N269,N280,14.33,arterial
N269,N292,21.78,arterial
N270,N283,9.08,arterial
N270,N295,13.6,arterial
N270,N298,18.07,arterial
N261,N270,37.45,arterial
N271,N278,11.35,arterial
N271,N294,16.69,arterial
N252,N271,23.68,arterial
N272,N289,24.52,arterial
N272,N298,30.11,arterial
N273,N288,5.28,arterial
N273,N293,11.12,arterial
N273,N294,22.19,arterial
N263,N273,23.9,arterial
N274,N275,23.16,arterial
N274,N278,24.29,arterial
N274,N291,26.59,arterial
N275,N277,7.11,arterial
N275,N291,34.16,arterial
N256,N275,39.94,arterial
N276,N282,31.07,arterial
N276,N285,43.86,arterial
N276,N290,50.22,arterial
N276,N299,51.96,arterial
N276,N296,54.25,arterial
N274,N277,30.02,arterial
N251,N277,30.22,arterial
N277,N291,37.36,arterial
N277,N284,43.13,arterial
N252,N278,25.96,arterial
N279,N287,36.53,arterial
N253,N279,44.21,arterial
N266,N279,57.4,arterial
N279,N298,68.66,arterial
N255,N279,69.17,arterial
N258,N280,21.81,arterial
N280,N289,22.77,arterial
N281,N290,11.14,arterial
N282,N285,67.83,arterial
N259,N282,78.97,arterial
N282,N290,79.19,arterial
N283,N295,7.47,arterial
N283,N298,26.79,arterial
N253,N283,32.8,arterial
N284,N292,5.24,arterial
N284,N291,6.6,arterial
N258,N284,21.35,arterial
N285,N290,20.67,arterial
N281,N285,21.14,arterial
N265,N285,32.66,arterial
N286,N295,54.04,arterial
N283,N286,60.15,arterial
N270,N286,67.64,arterial
N253,N286,76.12,arterial
N287,N298,40.65,arterial
N288,N293,16.02,arterial
N257,N289,20.22,arterial
N269,N289,24.86,arterial
N258,N290,23.53,arterial
N269,N290,26.26,arterial
N291,N292,11.81,arterial
N257,N291,25.41,arterial
N293,N294,13.32,arterial
N271,N293,24.04,arterial
N288,N294,25.65,arterial
N295,N298,31.52,arterial
N296,N299,33.89,arterial
N255,N296,49.88,arterial
N266,N296,53.11,arterial
N271,N297,25.25,arterial
N278,N297,29.31,arterial
N256,N297,29.52,arterial
N294,N297,35.45,arterial
N290,N299,27.3,arterial
N280,N299,33.21,arterial
N269,N299,36.95,arterial
N281,N299,36.95,arterial
N300,N322,24.13,arterial
N300,N332,26.46,arterial
N300,N325,27.54,arterial
N300,N321,27.7,arterial
N300,N305,28.91,arterial
N301,N307,1.58,arterial
N301,N321,7.5,arterial
